CustomerID,Lookalikes
C0001,"[('C0152', 0.98), ('C0118', 0.934), ('C0174', 0.926)]"
C0002,"[('C0027', 0.906), ('C0106', 0.9), ('C0134', 0.862)]"
C0003,"[('C0190', 0.901), ('C0052', 0.88), ('C0137', 0.847)]"
C0004,"[('C0165', 0.983), ('C0113', 0.979), ('C0102', 0.971)]"
C0005,"[('C0159', 0.997), ('C0007', 0.921), ('C0027', 0.896)]"
C0006,"[('C0187', 0.874), ('C0168', 0.856), ('C0158', 0.827)]"
C0007,"[('C0159', 0.934), ('C0005', 0.921), ('C0193', 0.918)]"
C0008,"[('C0024', 0.883), ('C0194', 0.851), ('C0084', 0.836)]"
C0009,"[('C0121', 0.948), ('C0014', 0.938), ('C0119', 0.928)]"
C0010,"[('C0199', 0.954), ('C0062', 0.891), ('C0121', 0.889)]"
C0011,"[('C0107', 0.98), ('C0001', 0.919), ('C0152', 0.865)]"
C0012,"[('C0013', 0.959), ('C0039', 0.944), ('C0195', 0.923)]"
C0013,"[('C0087', 0.975), ('C0012', 0.959), ('C0126', 0.892)]"
C0014,"[('C0009', 0.938), ('C0033', 0.921), ('C0151', 0.915)]"
C0015,"[('C0058', 0.98), ('C0036', 0.902), ('C0033', 0.894)]"
C0016,"[('C0183', 0.966), ('C0026', 0.867), ('C0117', 0.806)]"
C0017,"[('C0075', 0.938), ('C0124', 0.899), ('C0041', 0.838)]"
C0018,"[('C0046', 0.881), ('C0117', 0.87), ('C0114', 0.829)]"
C0019,"[('C0010', 0.869), ('C0086', 0.843), ('C0121', 0.841)]"
C0020,"[('C0078', 0.904), ('C0110', 0.901), ('C0080', 0.893)]"
